id1,id2,weight
A,Code,1
H,Code,1
L,Code,1
P,Code,1
R,Code,1
S,Code,1
T,Code,1
U,Code,1
V,Code,1
ADM3,A,1
PRSH,A,1
ADM2,A,1
ZN,A,1
ADM4,A,1
ADM1H,A,1
STM,H,1
RCH,H,1
LK,H,1
STMSB,H,1
PND,H,1
RSV,H,1
MRSH,H,1
WTRC,H,1
PNDS,H,1
HBR,H,1
CMN,L,1
PRK,L,1
AREA,L,1
LCTY,L,1
CTRB,L,1
MVA,L,1
RESF,L,1
RESN,L,1
GRAZ,L,1
RGN,L,1
PPLA3,P,1
PPL,P,1
PPLX,P,1
PPLC,P,1
PPLL,P,1
PPLA4,P,1
RDA,R,1
TNL,R,1
ST,R,1
RDJCT,R,1
TNLRD,R,1
RD,R,1
RJCT,R,1
TNLRR,R,1
RYD,R,1
EST,S,1
RSTN,S,1
MTRO,S,1
BDG,S,1
LOCK,S,1
PAL,S,1
RSTNQ,S,1
CH,S,1
CSTL,S,1
TOWR,S,1
STDM,S,1
HSP,S,1
OBS,S,1
AIRP,S,1
STNM,S,1
HTL,S,1
BCN,S,1
HSTS,S,1
OBPT,S,1
THTR,S,1
MUS,S,1
BLDG,S,1
MALL,S,1
CTRR,S,1
MKT,S,1
MNMT,S,1
BRKS,S,1
SQR,S,1
CTHSE,S,1
BANK,S,1
UNIV,S,1
OPRA,S,1
STNR,S,1
CTRCM,S,1
HSE,S,1
HSPC,S,1
LIBR,S,1
SCH,S,1
CMTY,S,1
PO,S,1
ATM,S,1
PRN,S,1
MLWND,S,1
REST,S,1
ARCHV,S,1
PP,S,1
BUSTN,S,1
PS,S,1
ADMF,S,1
FCL,S,1
FY,S,1
RUIN,S,1
SWT,S,1
SCHC,S,1
BLDO,S,1
DCKY,S,1
DCKD,S,1
ATHF,S,1
MAR,S,1
RECG,S,1
PRKGT,S,1
GRVE,S,1
AIRH,S,1
GDN,S,1
AGRF,S,1
MFGB,S,1
FRM,S,1
TMB,S,1
ARCH,S,1
AIRF,S,1
RET,S,1
SPA,S,1
PT,T,1
ISL,T,1
HLL,T,1
FRST,V,1
MDW,V,1
HTH,V,1
